sequence,depth,T_HW_ms,cycles,MMAC,weights,bottlenecks,block_cycles,hw_feasible_on_bitstream,infeasible_at
16-16-64-64-32-64,6,17.113000,1711300,195.840000,11275,PW-DW-PW-PW-PW-PW,518400/469300/122400/280800/154800/165600,1,
16-32-32-64-32-64,6,17.118960,1711896,179.020800,9339,PW-DW-DW-PW-PW-PW,518400/469300/238196/165600/154800/165600,1,
16-32-48-64-16-64,6,17.118960,1711896,171.648000,8827,PW-DW-DW-PW-PW-PW,518400/469300/238196/223200/140400/122400,1,
16-32-32-16-64-64,6,17.118960,1711896,169.574400,8683,PW-DW-DW-PW-PW-PW,518400/469300/238196/82800/122400/280800,1,
16-16-16-48-64-64,6,17.137600,1713760,176.947200,9963,PW-DW-DW-PW-PW-PW,518400/469300/119460/102600/223200/280800,1,
16-64-16-16-16-64,6,17.140680,1714068,135.936000,4811,PW-PW-DW-PW-PW-PW,518400/489600/475668/54000/54000/122400,0,b3 G*Cin=2560
16-32-64-48-64,5,17.154960,1715496,191.692800,10219,PW-DW-DW-PW-PW,518400/469300/238196/266400/223200,1,
16-64-48-16-64,5,17.176680,1717668,171.187200,7259,PW-PW-DW-PW-PW,518400/489600/475668/111600/122400,0,b3 G*Cin=2560
16-64-16-32-64,5,17.176680,1717668,150.681600,5835,PW-PW-DW-PW-PW,518400/489600/475668/68400/165600,0,b3 G*Cin=2560
16-48-64-16-32-64,6,17.190320,1719032,186.393600,9083,PW-DW-DW-PW-PW-PW,518400/469300/356932/140400/68400/165600,1,
16-48-32-48-64,5,17.190320,1719032,174.873600,8283,PW-DW-DW-PW-PW,518400/469300/356932/151200/223200,1,
16-16-16-64-48-64,6,17.191600,1719160,165.888000,9195,PW-DW-DW-PW-PW-PW,518400/469300/119460/122400/266400/223200,1,
16-48-16-16-48-64,6,17.244320,1724432,156.441600,7003,PW-DW-DW-PW-PW-PW,518400/469300/356932/54000/102600/223200,1,
16-32-48-32-48-64,6,17.262960,1726296,186.393600,9851,PW-DW-DW-PW-PW-PW,518400/469300/238196/126000/151200/223200,1,
16-32-48-48-32-64,6,17.262960,1726296,182.707200,9595,PW-DW-DW-PW-PW-PW,518400/469300/238196/208800/126000/165600,1,
16-32-64-48-16-64,6,17.262960,1726296,175.334400,9083,PW-DW-DW-PW-PW-PW,518400/469300/238196/266400/111600/122400,1,
16-48-32-48-16-64,6,17.298320,1729832,158.515200,7147,PW-DW-DW-PW-PW-PW,518400/469300/356932/151200/111600/122400,1,
16-48-16-64-16-64,6,17.298320,1729832,143.769600,6123,PW-DW-DW-PW-PW-PW,518400/469300/356932/122400/140400/122400,1,
16-32-48-64-64,5,17.298960,1729896,199.065600,10731,PW-DW-DW-PW-PW,518400/469300/238196/223200/280800,1,
16-48-48-32-32-64,6,17.334320,1733432,190.080000,9339,PW-DW-DW-PW-PW-PW,518400/469300/356932/126000/97200/165600,1,
16-48-16-48-32-64,6,17.388320,1738832,162.201600,7403,PW-DW-DW-PW-PW-PW,518400/469300/356932/102600/126000/165600,1,
16-32-48-16-64-64,6,17.406960,1740696,182.707200,9595,PW-DW-DW-PW-PW-PW,518400/469300/238196/111600/122400/280800,1,
16-32-16-32-64-64,6,17.406960,1740696,176.947200,9195,PW-DW-DW-PW-PW-PW,518400/469300/238196/68400/165600/280800,1,
16-64-32-16-16-64,6,17.428680,1742868,156.441600,6235,PW-PW-DW-PW-PW-PW,518400/489600/475668/82800/54000/122400,0,b3 G*Cin=2560
16-64-64-16-64,5,17.464680,1746468,191.692800,8683,PW-PW-DW-PW-PW,518400/489600/475668/140400/122400,0,b3 G*Cin=2560
16-64-32-32-64,5,17.464680,1746468,174.873600,7515,PW-PW-DW-PW-PW,518400/489600/475668/97200/165600,0,b3 G*Cin=2560
16-48-16-64-64,5,17.478320,1747832,171.187200,8027,PW-DW-DW-PW-PW,518400/469300/356932/122400/280800,1,
16-16-48-48-48-64,6,17.479600,1747960,182.707200,10363,PW-DW-DW-PW-PW-PW,518400/469300/119460/208800/208800/223200,1,
16-48-32-16-48-64,6,17.532320,1753232,173.260800,8171,PW-DW-DW-PW-PW-PW,518400/469300/356932/82800/102600/223200,1,
16-32-64-32-48-64,6,17.550960,1755096,203.212800,11019,PW-DW-DW-PW-PW-PW,518400/469300/238196/154800/151200/223200,1,
16-64-16-32-16-64,6,17.572680,1757268,145.382400,5467,PW-PW-DW-PW-PW-PW,518400/489600/475668/68400/82800/122400,0,b3 G*Cin=2560
16-32-16-48-48-64,6,17.604960,1760496,169.574400,8683,PW-DW-DW-PW-PW-PW,518400/469300/238196/102600/208800/223200,1,
16-48-64-32-32-64,6,17.622320,1762232,210.585600,10763,PW-DW-DW-PW-PW-PW,518400/469300/356932/154800/97200/165600,1,
16-16-32-48-64-64,6,17.623600,1762360,193.766400,11131,PW-DW-DW-PW-PW-PW,518400/469300/119460/151200/223200/280800,1,
16-16-32-64-48-64,6,17.623600,1762360,186.393600,10619,PW-DW-DW-PW-PW-PW,518400/469300/119460/165600/266400/223200,1,
16-64-64-64,4,17.644680,1764468,219.110400,10587,PW-PW-DW-PW,518400/489600/475668/280800,0,b3 G*Cin=2560
16-32-48-64-32-64,6,17.694960,1769496,203.212800,11019,PW-DW-DW-PW-PW-PW,518400/469300/238196/223200/154800/165600,1,
16-32-64-16-64-64,6,17.694960,1769496,195.840000,10507,PW-DW-DW-PW-PW-PW,518400/469300/238196/140400/122400/280800,1,
16-32-64-64-16-64,6,17.694960,1769496,195.840000,10507,PW-DW-DW-PW-PW-PW,518400/469300/238196/280800/140400/122400,1,
16-32-32-32-64-64,6,17.694960,1769496,193.766400,10363,PW-DW-DW-PW-PW-PW,518400/469300/238196/97200/165600/280800,1,
16-64-48-16-16-64,6,17.716680,1771668,176.947200,7659,PW-PW-DW-PW-PW-PW,518400/489600/475668/111600/54000/122400,0,b3 G*Cin=2560
16-64-16-16-32-64,6,17.716680,1771668,156.441600,6235,PW-PW-DW-PW-PW-PW,518400/489600/475668/54000/68400/165600,0,b3 G*Cin=2560
16-48-32-64-16-64,6,17.730320,1773032,171.648000,8059,PW-DW-DW-PW-PW-PW,518400/469300/356932/165600/140400/122400,1,
16-64-48-32-64,5,17.752680,1775268,199.065600,9195,PW-PW-DW-PW-PW,518400/489600/475668/126000/165600,0,b3 G*Cin=2560
