H,W,c_in,stride,G,in_beats,predicted_cycles,measured_cycles,abs_err,pct_err,err_per_row,axis_cycles,axis_minus_core,core_out_beats,axis_out_beats,status
90,320,32,2,40,115200,119756,118459,-1297,-1.0830355055279068,-14.252747252747254,119789,1330,28800,28800,OK
180,320,32,2,40,230400,238196,236899,-1297,-0.5445095635527045,-7.165745856353591,238229,1330,57600,57600,OK
360,320,32,2,40,460800,475076,473779,-1297,-0.27300895014692383,-3.592797783933518,475109,1330,115200,115200,OK
720,320,32,2,40,921600,948836,947539,-1297,-0.13669380166857076,-1.7988904299583912,948869,1330,230400,230400,OK
90,160,48,2,20,86400,92092,91099,-993,-1.078269556530426,-10.912087912087912,92125,1026,21600,21600,OK
180,160,48,2,20,172800,183172,182179,-993,-0.5421134234489987,-5.486187845303867,183205,1026,43200,43200,OK
360,160,48,2,20,345600,365332,364339,-993,-0.2718075613414648,-2.7506925207756234,365365,1026,86400,86400,OK
720,160,48,2,20,691200,729652,728659,-993,-0.13609227412519942,-1.377253814147018,729685,1026,172800,172800,OK
90,320,48,2,40,172800,179452,177499,-1953,-1.0883133094086441,-21.46153846153846,179485,1986,43200,43200,OK
180,320,48,2,40,345600,356932,354979,-1953,-0.5471630450618045,-10.790055248618785,356965,1986,86400,86400,OK
360,320,48,2,40,691200,711892,709939,-1953,-0.2743393660836194,-5.409972299168975,711925,1986,172800,172800,OK
720,320,48,2,40,1382400,1421812,1419859,-1953,-0.13735993225545992,-2.70873786407767,1421845,1986,345600,345600,OK
90,160,64,2,20,115200,122668,121339,-1329,-1.0834121368245997,-14.604395604395604,122701,1362,28800,28800,OK
180,160,64,2,20,230400,243988,242659,-1329,-0.5446989196189976,-7.342541436464089,244021,1362,57600,57600,OK
360,160,64,2,20,460800,486628,485299,-1329,-0.27310389044609024,-3.6814404432132966,486661,1362,115200,115200,OK
720,160,64,2,20,921600,971908,970579,-1329,-0.13674133765747376,-1.8432732316227463,971941,1362,230400,230400,OK
180,160,3,1,20,10800,12127,12146,19,0.15667518759792198,0.10497237569060773,12163,17,10800,10800,OK
180,320,3,1,40,21600,22987,23006,19,0.08265541392961238,0.10497237569060773,23023,17,21600,21600,OK
180,640,3,1,80,43200,44707,44726,19,0.042498937526561836,0.10497237569060773,44743,17,43200,43200,OK
180,160,8,1,20,28800,31132,31151,19,0.061030450982911474,0.10497237569060773,31168,17,28800,28800,OK
180,320,8,1,40,57600,60092,60111,19,0.03161818544897824,0.10497237569060773,60128,17,57600,57600,OK
180,640,8,1,80,115200,118012,118031,19,0.016100057621258854,0.10497237569060773,118048,17,115200,115200,OK
180,160,16,1,20,57600,61540,61559,19,0.03087422814429639,0.10497237569060773,61576,17,57600,57600,OK
180,320,16,1,40,115200,119460,119479,19,0.015904905407667837,0.10497237569060773,119496,17,115200,115200,OK
180,640,16,1,80,230400,235300,235319,19,0.008074798130046749,0.10497237569060773,235336,17,230400,230400,OK
180,160,32,1,20,115200,122356,122375,19,0.015528457942397595,0.10497237569060773,122392,17,115200,115200,OK
180,320,32,1,40,230400,238196,238215,19,0.007976624292599372,0.10497237569060773,238232,17,230400,230400,OK
180,160,48,1,20,172800,183172,183191,19,0.010372764396305112,0.10497237569060773,183208,17,172800,172800,OK
180,320,48,1,40,345600,356932,356951,19,0.005323142783499378,0.10497237569060773,356968,17,345600,345600,OK
180,160,64,1,20,230400,243988,244007,19,0.007787268226306212,0.10497237569060773,244024,17,230400,230400,OK
24,67,3,1,9,648,850,869,19,2.235294117647059,0.76,886,17,648,648,OK
24,67,3,2,9,648,850,832,-18,-2.1176470588235294,-0.72,883,51,144,144,OK
24,100,3,1,13,936,1150,1169,19,1.6521739130434783,0.76,1186,17,936,936,OK
24,100,3,2,13,936,1150,1120,-30,-2.608695652173913,-1.2,1183,63,216,216,OK
24,1435,3,1,180,12960,13675,13694,19,0.13893967093235832,0.76,13711,17,12960,12960,OK
24,1435,3,2,180,12960,13675,13147,-528,-3.8610603290676417,-21.12,13708,561,3240,3240,OK
