role,candidate,nblocks,frames,pred_cyc,pred_ms,meas_ms,meas_min_ms,meas_max_ms,meas_sd_ms,sum_blocks_ms,err_ms,err_pct,in_sample
CTRL-A,16-48-64,3,80,1344632,13.44632,13.481488,13.481292,13.481841,0.0001,13.481488,0.035168,0.2615,control
CTRL-B,16-32-32-32-64-64,6,80,1769496,17.69496,17.876513,17.876111,17.876936,0.000201,17.876513,0.181553,1.026,control
OOS-A,16-16-16-16-32-64,6,80,1395160,13.9516,14.097799,14.097633,14.098143,0.000104,14.097799,0.146199,1.0479,out-of-sample
OOS-B,16-16-48-32-64,5,80,1398760,13.9876,14.11165,14.111454,14.111988,8.9e-05,14.11165,0.12405,0.8869,out-of-sample
OOS-C,16-16-64-64,4,80,1390900,13.909,14.009892,14.009607,14.010165,0.000114,14.009892,0.100892,0.7254,out-of-sample
OOS-D,16-32-48-64-32-64,6,80,1769496,17.69496,17.878861,17.87858,17.879255,0.000156,17.878861,0.183901,1.0393,out-of-sample
