
****** xsim v2020.2 (64-bit)
  **** SW Build 3064766 on Wed Nov 18 09:12:45 MST 2020
  **** IP Build 3064653 on Wed Nov 18 14:17:31 MST 2020
    ** Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.

source xsim.dir/dwsnap/xsim_script.tcl
# xsim {dwsnap} -autoloadwcfg -runall
Vivado Simulator 2020.2
Time resolution is 1 ps
run -all
DWCSV,h,w,cin,stride,G,in_beats,core_cycles,axis_cycles,axis_minus_core,core_out_beats,axis_out_beats,status
DWCSV,24,67,3,1,9,648,869,886,17,648,648,         OK
DWCSV,24,67,3,2,9,648,832,883,51,144,144,         OK
DWCSV,24,100,3,1,13,936,1169,1186,17,936,936,         OK
DWCSV,24,100,3,2,13,936,1120,1183,63,216,216,         OK
DWCSV,24,1435,3,1,180,12960,13694,13711,17,12960,12960,         OK
DWCSV,24,1435,3,2,180,12960,13147,13708,561,3240,3240,         OK
DWCSV,24,1279,3,1,160,11520,12194,12211,17,11520,11520,         OK
DWCSV,24,1279,3,2,160,11520,11707,12208,501,2880,2880,         OK
DWCSV,1,160,8,1,20,160,363,380,17,160,160,         OK
DWCSV,1,160,8,2,20,160,363,380,17,80,80,         OK
DWCSV,2,160,8,1,20,320,535,552,17,320,320,         OK
DWCSV,2,160,8,2,20,320,363,549,186,80,80,         OK
DWCSV,4,160,8,1,20,640,879,896,17,640,640,         OK
DWCSV,4,160,8,2,20,640,707,893,186,160,160,         OK
DWCSV,8,160,8,1,20,1280,1567,1584,17,1280,1280,         OK
DWCSV,8,160,8,2,20,1280,1395,1581,186,320,320,         OK
DWCSV,16,160,8,1,20,2560,2943,2960,17,2560,2560,         OK
DWCSV,16,160,8,2,20,2560,2771,2957,186,640,640,         OK
DWCSV,32,160,8,1,20,5120,5695,5712,17,5120,5120,         OK
DWCSV,32,160,8,2,20,5120,5523,5709,186,1280,1280,         OK
[TB] 98 configurations run, 0 skipped for capacity
$finish called at time : 182159965 ns : File "C:/Users/Fahad/Zynq/sim/dw_cycle_tb.sv" Line 257
run: Time (s): cpu = 00:00:01 ; elapsed = 00:19:15 . Memory (MB): peak = 918.480 ; gain = 0.051
exit
INFO: [Common 17-206] Exiting xsim at Mon Sep  7 05:01:49 2026...
